;user_id;questions_135556_what_is_your_gender;questions_135557_how_old_are_you;LSM_group1;questions_135613_who_do_you_share_your_home_with;questions_224112_149402_210209_including_yourself_how_many_people_do_you_share_your_home_with;questions_134340_what_do_you_do_to_try_to_stay_healthy_tick_all_that_apply;questions_134341_what_drives_you_to_have_a_healthy_lifestyle_you_may_select_up_to_3;questions_134342_do_you_try_to_eat_or_drink_in_any_of_the_following_ways;questions_134344_which_of_the_following_steps_if_any_are_you_taking_to_eat_drink_more_healthily;questions_134347_how_regularly_do_you_exercise_you_can_be_honest_it_s_just_between_us;questions_134348_which_types_of_exercise_do_you_enjoy_doing_tick_all_that_apply;questions_134356_do_you_do_any_of_the_following_to_help_you_sleep_tick_all_that_apply;questions_134357_and_do_you_try_to_avoid_certain_things_in_the_hour_before_you_go_to_sleep_tick_all_that_apply
1;389214045;Female;25-34;High;"[""Children over 18 years old""]";4;"[""Stay hydrated""]";"[""To make the most out of/enjoy life""]";"[""None of the above""]";"[""Eating out at places that have healthy options available""]";3+ times a week;"[""Running"", ""Yoga/Pilates""]";"[""Have a bath"", ""Have a malted milk drink""]";"[""Browsing on my cell phone / tablet"", ""Caffeine"", ""Watching TV"", ""Alcohol""]"
3;0;Female;45+;High;"[""Partner /spouse""]";1;"[""Drink lots of water / fluids"", ""Eat healthily"", ""Stay hydrated"", ""Other""]";"[""To manage a health / medical condition"", ""Prevent health conditions in later life""]";"[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar"", ""Low / zero carb""]";"[""Intermittent fasting""]";Never;;"[""Have herbal tea"", ""Have a bath""]";"[""Caffeine"", ""Heavy meal"", ""Other""]"
4;2647339060;Male;25-34;High;"[""Parents"", ""Other family members""]";4;"[""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Stay hydrated""]";"[""To make the most of treats / indulgent moments"", ""Prevent health conditions in later life"", ""To improve my sleep""]";"[""Low sugar"", ""Low salt"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]";"[""Trying to have a variety of colors on my plate"", ""Filling half my plate with vegetables"", ""Checking nutritional value of the food / drink I purchase"", ""Eating out / ordering takeout less frequently"", ""Checking / reading the ingredients in food / drink products"", ""Shopping at places that have a wide selection of healthy options""]";3+ times a week;"[""Walking"", ""Cycling"", ""Hiking""]";"[""Have warm milk"", ""Other""]";"[""Heavy meal"", ""Caffeine""]"
5;951222664;Female;45+;High;"[""Partner / spouse""]";3;"[""Eat healthily"", ""Exercise regularly"", ""Make sure I get enough sleep""]";"[""To improve my sleep"", ""To manage a health / medical condition"", ""To live longer""]";"[""Low salt""]";"[""Cooking more meals at home""]";Twice a week;"[""Hiking""]";"[""No, none of these""]";"[""Caffeine""]"
6;1056649824;Male;35-44;Medium;"[""Children under 18 years old"", ""Partner / spouse""]";5+;"[""Make sure I get enough sleep"", ""Taking time to relax""]";"[""To make the most out of/enjoy life"", ""To improve my sleep"", ""To live longer""]";"[""None of the above""]";"[""Cooking more meals at home""]";Never;;"[""No, none of these""]";"[""Caffeine""]"
7;2771744552;Female;25-34;Medium;"[""Friends / Roommates"", ""Other family members""]";4;"[""Meditation / positive mindset methods"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Exercise regularly"", ""Make sure I get enough sleep""]";"[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To manage a health / medical condition""]";"[""Low calorie"", ""Vegetarian: eat no meat or fish"", ""Low cholesterol"", ""Low sugar"", ""High protein""]";"[""Intermittent fasting"", ""Shopping at places that have a wide selection of healthy options"", ""Snacking less often"", ""Eating out at places that have healthy options available""]";3+ times a week;"[""Cycling"", ""Running"", ""Yoga/Pilates""]";"[""No, none of these""]";"[""Alcohol"", ""Heavy meal"", ""Caffeine""]"
8;3427770026;Female;45+;High;"[""Other family members""]";5+;"[""Eat healthily""]";"[""To set a good example for my family"", ""To improve my sleep"", ""To lose / manage my weight""]";"[""Low sugar""]";"[""Snacking less often""]";Twice a week;"[""Cycling"", ""Cardio / Aerobics / Water aerobics""]";"[""Have a bath""]";"[""Heavy meal""]"
9;1136589453;Female;45+;High;"[""Partner / spouse"", ""Children over 18 years old""]";4;"[""Meditation / positive mindset methods"", ""Eat healthily"", ""Stay hydrated"", ""Exercise regularly""]";"[""To improve my sleep"", ""To manage a health / medical condition"", ""To set a good example for my family""]";"[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar""]";"[""Cooking more meals at home"", ""Snacking less often"", ""Making an effort to find healthy recipes""]";3+ times a week;"[""Yoga/Pilates""]";"[""No, none of these""]";"[""Heavy meal""]"
10;504021840;Male;45+;High;"[""Partner / spouse"", ""Children under 18 years old""]";4;"[""Drink lots of water / fluids""]";"[""To lose / manage my weight""]";"[""None of the above""]";"[""Snacking less often""]";Once a week;"[""Walking""]";"[""No, none of these""]";"[""No, none of these""]"
14;1202453700;Male;18-24;High;"[""I live alone""]";1;"[""Drink lots of water / fluids"", ""Eat healthily"", ""Taking time to relax""]";"[""Specific event (e.g. holiday, wedding)"", ""Feeling good about myself"", ""Have more energy""]";"[""None of the above""]";"[""Cooking more meals at home"", ""Making an effort to find healthy recipes""]";Once a week;"[""Other""]";"[""No, none of these""]";"[""No, none of these""]"
