,user_id,questions_135556_what_is_your_gender,questions_135557_how_old_are_you,LSM_group1,questions_135613_who_do_you_share_your_home_with,questions_224112_149402_210209_including_yourself_how_many_people_do_you_share_your_home_with,questions_134340_what_do_you_do_to_try_to_stay_healthy_tick_all_that_apply,questions_134341_what_drives_you_to_have_a_healthy_lifestyle_you_may_select_up_to_3,questions_134342_do_you_try_to_eat_or_drink_in_any_of_the_following_ways,questions_134344_which_of_the_following_steps_if_any_are_you_taking_to_eat_drink_more_healthily,questions_134347_how_regularly_do_you_exercise_you_can_be_honest_it_s_just_between_us,questions_134348_which_types_of_exercise_do_you_enjoy_doing_tick_all_that_apply,questions_134356_do_you_do_any_of_the_following_to_help_you_sleep_tick_all_that_apply,questions_134357_and_do_you_try_to_avoid_certain_things_in_the_hour_before_you_go_to_sleep_tick_all_that_apply
1,742665434.0,Female,25-34,High,"[""Children over 18 years old""]",4,"[""Stay hydrated""]","[""Feeling good about myself"", ""Have more energy"", ""To set a good example for my family""]","[""None of the above""]","[""Eating out at places that have healthy options available""]",3+ times a week,"[""Yoga/Pilates"", ""Running""]","[""Have a bath""]","[""Alcohol"", ""Watching TV""]"
3,799125473.0,Female,45+,High,"[""Partner / spouse""]",1,"[""Other"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Stay hydrated""]","[""Have more energy"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low / zero carb"", ""Low sugar""]","[""Intermittent fasting""]",Once a week,,"[""Meditate""]","[""Caffeine"", ""Heavy meal"", ""Alcohol""]"
4,944164569.0,Male,25-34,High,"[""Other family members"", ""Parents""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt"", ""Low sugar""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Shopping at places that have a wide selection of healthy options"", ""Filling half my plate with vegetables"", ""Eating out / ordering takeout less frequently"", ""Trying to have a variety of colors on my plate""]",Twice a week,"[""Hiking"", ""Walking"", ""Cycling""]","[""No, none of these""]","[""Alcohol""]"
5,543872281.0,Female,45+,High,"[""Partner / spouse""]",3,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""To live longer"", ""To improve brain function/ memory"", ""To make the most of treats / indulgent moments""]","[""Low salt""]","[""Cooking more meals at home""]",Twice a week,"[""Hiking""]","[""Have herbal tea""]","[""Watching TV""]"
6,803554703.0,Male,35-44,Medium,"[""Children under 18 years old"", ""Partner / spouse""]","""5+""","[""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Have more energy"", ""To manage a health / medical condition""]","[""None of the above""]","[""Cooking more meals at home""]",Few times a month,,"[""Take sleeping tablets""]","[""No, none of these""]"
7,392747773.0,Female,25-34,Medium,"[""Friends / Roommates"", ""Other family members""]",4,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""Have more energy"", ""To manage a health / medical condition""]","[""Low calorie"", ""Vegetarian: eat no meat or fish"", ""Low cholesterol"", ""High protein"", ""Low sugar""]","[""Shopping at places that have a wide selection of healthy options"", ""Snacking less often"", ""Eating out at places that have healthy options available"", ""Intermittent fasting""]",Once a week,"[""Yoga/Pilates"", ""Running"", ""Cycling""]","[""Remove screens from bedrooms e.g. TV, cell phone"", ""Have warm milk""]","[""No, none of these""]"
8,870210642.0,Female,45+,High,"[""Other family members""]","""5+""","[""Eat healthily""]","[""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Low sugar""]","[""Snacking less often""]",Few times a month,"[""Cardio / Aerobics / Water aerobics"", ""Cycling""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine"", ""Alcohol""]"
9,741802791.0,Female,45+,High,"[""Children over 18 years old"", ""Partner / spouse""]",4,"[""Stay hydrated"", ""Eat healthily"", ""Exercise regularly"", ""Meditation / positive mindset methods""]","[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar""]","[""Cooking more meals at home"", ""Snacking less often"", ""Making an effort to find healthy recipes""]",Less often,"[""Yoga/Pilates""]","[""Have a bath""]","[""No, none of these""]"
10,216442988.0,Male,45+,High,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""To set a good example for my family""]","[""None of the above""]","[""Snacking less often""]",Less often,"[""Walking""]","[""Have herbal tea""]","[""Caffeine"", ""Alcohol""]"
14,725845791.0,Female,18-24,High,"[""I live alone""]",1,"[""Eat healthily"", ""Taking time to relax"", ""Drink lots of water / fluids""]","[""To live longer"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""None of the above""]","[""Cooking more meals at home"", ""Making an effort to find healthy recipes""]",Once a week,"[""Other""]","[""No, none of these""]","[""Browsing on my cell phone / tablet"", ""Checking emails""]"
